k,time,x,y,yaw
107,5.407787799835205,13.9849624633789,3.15001487731934,-3.1415911405012
108,5.458305835723877,13.5054035186768,3.15000820159912,3.1415917076981987
109,5.507859468460083,12.9747142791748,3.15000057220459,3.141587147411076
110,5.557873964309692,12.9211254119873,3.14999866485596,3.141586311449351
111,5.607822895050049,12.4974746704102,3.15000820159912,3.141590952878662
112,5.657800912857056,12.2331695556641,3.15000915527344,3.1415915841502353
113,5.708394765853882,12.1273097991943,3.15000915527344,3.14159104056035
114,5.75780463218689,11.8622856140137,3.15000915527344,-3.141592531641923
115,5.807950496673584,11.4388828277588,3.1500129699707,-3.141591389348756
116,5.857873916625977,11.2271785736084,3.15001201629639,-3.1415923963622205
117,5.907905340194702,10.9102993011475,3.15000820159912,3.1415903889014842
118,5.957866430282593,10.7528762817383,3.1500072479248,3.14158794386379
119,6.007685899734497,10.3841724395752,3.15000629425049,3.1415872140818686
120,6.057825326919556,10.1223373413086,3.15001010894775,3.141589369882547
121,6.107842683792114,9.80731391906738,3.15001201629639,3.141590287299106
122,6.157691955566406,9.54410362243652,3.15001392364502,-3.1415923506508823
123,6.207800388336182,9.33376884460449,3.15001583099365,-3.1415902131182705
124,6.257887363433838,9.12333679199219,3.15001487731934,-3.1415902193780774
125,6.308134078979492,9.12333679199219,3.15001487731934,-3.141592165179665
126,6.3578290939331055,8.7034969329834,3.15001010894775,3.141590838420792
127,6.40788459777832,8.38959884643555,3.1500072479248,3.141589275319913
128,6.4579479694366455,8.2336540222168,3.15000629425049,3.1415886947001908
129,6.5077550411224365,7.9210000038147,3.1500072479248,3.141588254888681
130,6.557837963104248,7.66021776199341,3.15000915527344,3.1415908976152185
131,6.607861757278442,7.34765386581421,3.15001392364502,-3.141591225824006
132,6.657864809036255,7.13897466659546,3.15001487731934,-3.141590116575982
133,6.707853317260742,6.87902021408081,3.15001392364502,-3.14159088396197
134,6.757858753204346,6.67076539993286,3.1500129699707,-3.141591155684315
135,6.807786226272583,6.25491857528687,3.15001201629639,-3.1415901975174703
136,6.85791540145874,6.15089559555054,3.15001201629639,-3.1415884981005253
137,6.9077723026275635,5.88986682891846,3.15001344680786,-3.1415881709884688
138,6.957804918289185,5.57683944702148,3.15001440048218,-3.1415867006244995
139,7.007929801940918,5.21173000335693,3.15001344680786,-3.1415885780474344
140,7.058075904846191,5.05446720123291,3.1500096321106,-3.141590872090312
141,7.108083963394165,4.79460144042969,3.15000677108765,-3.1415908858630335
142,7.1582629680633545,4.53344106674194,3.1500072479248,-3.141591107880051
143,7.20796799659729,4.27395439147949,3.15000581741333,-3.141591820708279
144,7.257856369018555,3.85802817344666,3.15000414848328,3.1415917867284557
145,7.307845592498779,3.54649233818054,3.15000653266907,-3.1415917154171993
146,7.357666492462158,3.44255232810974,3.15000796318054,-3.1415903118746527
147,7.4078192710876465,3.07764768600464,3.15000915527344,-3.1415889286138463
148,7.45792818069458,2.81775546073914,3.15001082420349,-3.1415874024223562
149,7.507774591445923,2.71348214149475,3.15000939369202,-3.141589895030015
150,7.557999849319458,2.45242691040039,3.15000534057617,-3.1415900490696225
151,7.607902765274048,2.13993692398071,3.15000581741333,-3.1415886729913516
152,7.657909154891968,1.98430263996124,3.15000629425049,-3.1415917416098793
153,7.707795858383179,1.67225575447083,3.14999938011169,3.1415885247130686
154,7.757814168930054,1.41229999065399,3.14999341964722,3.141587261609711
155,7.80794095993042,1.1014062166214,3.1499981880188,3.141589769721853
156,7.857954025268555,0.739274561405182,3.15000176429749,3.1415903018450777
157,7.907731771469116,0.480042636394501,3.14999890327454,3.1415894364584043
158,7.957869052886963,0.376727998256683,3.15000009536743,3.141591787708958
159,8.007771968841553,0.0156490821391344,3.15000414848328,3.141591999802911
160,8.057969093322754,-0.293830186128616,3.15000152587891,3.1415907360610085
161,8.107799530029297,-0.396837055683136,3.15000176429749,3.1415919094009244
162,8.157745122909546,-0.602945029735565,3.15000414848328,-3.1415909636369292
163,8.207792520523071,-0.861568331718445,3.15000629425049,-3.141589631461453
164,8.257995367050171,-1.17162525653839,3.15000820159912,-3.14158856426202
165,8.307978868484497,-1.42966163158417,3.15000820159912,-3.1415913708377903
166,8.35782241821289,-1.68864607810974,3.1500027179718,3.1415902981689316
167,8.40804123878479,-1.94566750526428,3.14999938011169,3.1415909919835014
168,8.45836091041565,-2.20384073257446,3.15000081062317,3.1415900182128182
169,8.507785320281982,-2.46022963523865,3.15000009536743,3.141591953028039
170,8.557786226272583,-2.92340207099915,3.15000128746033,3.141590561731707
171,8.607913494110107,-3.02606916427612,3.1500027179718,3.1415925751306237
172,8.657909393310547,-3.23156809806824,3.15000534057617,-3.141592372758438
173,8.708032369613647,-3.48751854896545,3.15000367164612,3.141591567688803
174,8.757767915725708,-3.74435567855835,3.15000104904175,3.141590152436975
175,8.807854175567627,-4.05113506317139,3.15000104904175,3.1415922443526805
176,8.85787296295166,-4.25566482543945,3.15000295639038,3.1415923143758024
177,8.90782356262207,-4.45999765396118,3.15000176429749,3.141591838087332
178,8.957733392715454,-4.76603507995605,3.15000057220459,3.141591282847303
179,9.007752895355225,-5.07152462005615,3.15000009536743,3.1415911678661192
180,9.057853937149048,-5.223388671875,3.15000033378601,3.1415912929938887
181,9.10790228843689,-5.52812004089355,3.15000033378601,3.141591206821692
182,9.157928705215454,-5.78243160247803,3.15000033378601,-3.1415910949527657
183,9.207954168319702,-6.03574800491333,3.15000581741333,-3.1415895620194343
184,9.25794005393982,-6.2909255027771,3.15000677108765,-3.1415899432065775
185,9.307978630065918,-6.54471015930176,3.15000677108765,-3.141589226526604
186,9.357928991317749,-6.80019760131836,3.1500072479248,-3.1415892366666993
187,9.407882452011108,-7.10592985153198,3.15000557899475,-3.141589781114697
188,9.457830667495728,-7.46230840682983,3.15000438690186,-3.1415914376062193
189,9.507920980453491,-7.56422710418701,3.15000295639038,3.1415917506364335
190,9.557954788208008,-7.81944799423218,3.15000057220459,-3.1415916346518546
191,9.6077880859375,-8.17550086975098,3.15000534057617,-3.141590326172433
192,9.657912015914917,-8.48169898986816,3.15000438690186,-3.1415912012349247
193,9.708167314529419,-8.68583297729492,3.15000629425049,-3.141589937694625
194,9.757813215255737,-8.83977317810059,3.15000629425049,-3.1415890077477826
195,9.807827949523926,-9.1972713470459,3.15000820159912,-3.141588083692767
196,9.85794973373413,-9.50457000732422,3.15000438690186,-3.1415901063098044
197,9.907844543457031,-9.70919799804688,3.15000438690186,-3.141590197616252
198,9.957668542861938,-9.86342239379883,3.15000486373901,-3.1415891013836497
199,10.007840156555176,-10.2214012145996,3.15000629425049,-3.141588716544194
200,10.057884931564331,-10.528980255127,3.15000247955322,-3.1415912094807137
201,10.108302116394043,-10.7337284088135,3.15000152587891,-3.141592162101185
202,10.157824754714966,-10.8880062103271,3.15000200271606,-3.14159138208955
203,10.20779299736023,-11.2979850769043,3.15000534057617,-3.141590490083071
204,10.258087396621704,-11.5535888671875,3.15000247955322,-3.1415926418354974
205,10.307698965072632,-11.758171081543,3.14999580383301,3.1415873901331253
206,10.357857942581177,-11.912015914917,3.14999198913574,3.1415836842688676
207,10.407779932022095,-12.2686614990234,3.14999580383301,3.141585155663279
208,10.457879543304443,-12.5749816894531,3.15000152587891,3.1415880455233465
209,10.507935523986816,-12.8305912017822,3.15000534057617,3.141590846594594
210,10.558265447616577,-13.1367950439453,3.15000915527344,-3.1415902091167847
211,10.607906103134155,-13.3408832550049,3.1500072479248,-3.141590739567718
212,10.65805459022522,-13.594820022583,3.15000152587891,3.1415912908817205
213,10.70803427696228,-13.8494987487793,3.14999675750732,3.141587113087357
214,10.7577543258667,-14.1538925170898,3.14999675750732,3.1415862380973145
215,10.807821273803711,-14.2553081512451,3.14999771118164,3.1415867025773663
216,10.8583242893219,-14.4066219329834,3.14999961853027,3.141589123238777
217,10.908182382583618,-14.659875869751,3.15000534057617,3.1415902577060812
218,10.957854986190796,-14.9635791778564,3.15000629425049,-3.1415871550439904
219,11.007889986038208,-15.2677192687988,3.15000629425049,-3.141587528950589
220,11.057902812957764,-15.5711250305176,3.15002059936523,-3.141579556446032
221,11.107837677001953,-15.8752880096436,3.15000915527344,-3.1415844155360735
222,11.157767534255981,-16.1790103912354,3.1500129699707,-3.141575083990412
223,11.207849740982056,-16.2804336547852,3.1500129699707,-3.141568354246177
224,11.25788140296936,-16.4329433441162,3.15000534057617,-3.1415827813604458
225,11.30792498588562,-16.685661315918,3.14998722076416,-3.141578040437545
226,11.357807159423828,-16.990234375,3.14999580383301,-3.1415725388238935
227,11.4078950881958,-17.3444385528564,3.14999580383301,-3.1415737963113886
228,11.45792293548584,-17.6477928161621,3.14998912811279,-3.1415748198192324
229,11.507858037948608,-17.9004154205322,3.14998817443848,-3.141576581897635
230,11.557842016220093,-18.0015430450439,3.14998626708984,-3.1415924079878823
231,11.607913970947266,-18.0015430450439,3.14998626708984,-3.141588145995072
232,11.657873392105103,-18.5071277618408,3.149977684021,-3.141582106230968
233,11.708071231842041,-18.8100643157959,3.14999675750732,3.141591932483274
234,11.757984399795532,-18.9621925354004,3.14998435974121,-3.141574585078444
235,11.807917356491089,-18.9621925354004,3.14998435974121,-3.141590188023772
236,11.857982158660889,-19.5175743103027,3.14998626708984,-3.141578320869457
237,11.908045053482056,-19.8709278106689,3.14998054504395,-3.1415782289697822
238,11.957749605178833,-20.0224475860596,3.14998054504395,-3.1415781284853304
239,12.007819890975952,-20.4257106781006,3.14997863769531,-3.141577258076316
240,12.058014392852783,-20.6275482177734,3.14996910095215,-3.1415852560573856
241,12.108065128326416,-20.7790069580078,3.14996910095215,-3.1415848903131955
242,12.157701969146729,-20.9807834625244,3.14997482299805,-3.141580282528725
243,12.207815647125244,-21.4357719421387,3.14997100830078,-3.1415831807687247
244,12.257819890975952,-21.688777923584,3.14996147155762,-3.1415898300808465
245,12.307890892028809,-21.8910980224609,3.14997291564941,-3.141580720608458
246,12.357780933380127,-21.9925880432129,3.14997100830078,-3.1415787858290054
247,12.40792179107666,-22.3984127044678,3.14996528625488,-3.1415830592664995
248,12.457975149154663,-22.6512889862061,3.14994812011719,3.1415922941240764
249,12.507897138595581,-22.9045867919922,3.14995002746582,-3.1415889658669274
250,12.557786703109741,-23.0057773590088,3.14994812011719,-3.141584077505912
251,12.607908725738525,-23.4108562469482,3.14995956420898,-3.1415903993177396
252,12.657958984375,-23.6636276245117,3.14995765686035,-3.1415919586054195
253,12.707822322845459,-23.9678554534912,3.14995384216309,3.1415872652195898
254,12.757691144943237,-24.0683002471924,3.14996337890625,3.141590951259089
255,12.80784559249878,-24.4223403930664,3.14996337890625,3.141584425389217
256,12.857924461364746,-24.6754817962646,3.14996147155762,3.141582664422159
257,12.907764196395874,-24.876838684082,3.14997673034668,-3.141591264139808
258,12.957872152328491,-25.0287609100342,3.14996910095215,-3.1415906025706635
259,13.007880687713623,-25.4819488525391,3.15000343322754,-3.1415733953242206
