name,k,time,steps_recovery,attack_sz,Ca,T,Success
oprp_ol,109,10.9,4,0,0.9276620575956749,301.4977331056054,1
oprp_cl,109,10.9,4,0,0.9276522699510337,301.6184748023062,1
lqr,112,11.200000000000001,7,0,0.9433906193881498,305.5451623990156,1
vsr,115,11.5,10,0,0.9723175125148716,308.228642221822,0
oprp_ol,109,10.9,4,0,0.9798386248610437,300.592777605461,1
oprp_cl,109,10.9,4,0,0.9798198238301707,300.8241020337795,1
lqr,111,11.100000000000001,6,0,0.9770111195061766,306.0530963567516,0
vsr,115,11.5,10,0,0.962597111653438,306.3819848310168,0
oprp_ol,109,10.9,4,0,0.9234836986980626,301.13379180146745,1
oprp_cl,109,10.9,4,0,0.9234866629102502,301.09742151131877,1
lqr,118,11.8,13,0,0.9843038128004429,304.8389723162241,1
vsr,115,11.5,10,0,0.9179827640957466,306.7204541861839,0
oprp_ol,109,10.9,4,0,0.9371170416268221,300.0107441181953,1
oprp_cl,109,10.9,4,0,0.9371045811701321,300.170723243901,1
lqr,112,11.200000000000001,7,0,0.9589091233075612,304.902495466249,1
vsr,115,11.5,10,0,0.9731260279036769,308.3559291182803,0
oprp_ol,109,10.9,4,0,0.9442790675425885,301.38339334679495,1
oprp_cl,109,10.9,4,0,0.9442748047639585,301.43205973110145,1
lqr,113,11.3,8,0,0.9441116240058329,305.17123520724846,1
vsr,115,11.5,10,0,0.9186658069433886,307.55056085144054,0
oprp_ol,109,10.9,4,0,0.9520463947775399,299.982301515112,1
oprp_cl,109,10.9,4,0,0.9520382729588139,300.0889547482751,1
lqr,112,11.200000000000001,7,0,0.9405952478014781,305.04554756988983,1
vsr,115,11.5,10,0,0.9676367962561456,308.2326585764274,0
oprp_ol,109,10.9,4,0,0.960132322137136,301.79001017914305,1
oprp_cl,109,10.9,4,0,0.9601076074627453,302.0668326468901,1
lqr,114,11.4,9,0,0.9682807975572808,305.21121616663265,1
vsr,115,11.5,10,0,0.95076028945438,308.1463476304578,0
oprp_ol,109,10.9,4,0,0.8845107052473814,301.8425855116273,1
oprp_cl,109,10.9,4,0,0.8844835088464856,302.1946743368297,1
lqr,112,11.200000000000001,7,0,0.8930659428092852,306.09480869439585,0
vsr,115,11.5,10,0,0.8734049400827373,306.9393643377452,0
oprp_ol,109,10.9,4,0,0.8945489981206604,300.57808684772516,1
oprp_cl,109,10.9,4,0,0.8945314884366234,300.8372046569572,1
lqr,113,11.3,8,0,0.8704465110179396,305.7781623104329,1
vsr,115,11.5,10,0,0.8853513516144744,308.1135541461984,0
oprp_ol,109,10.9,4,0,0.9090987899595957,300.29784801833887,1
oprp_cl,109,10.9,4,0,0.909090475600227,300.41344863020186,1
lqr,110,11.0,5,0,0.9193978912385851,304.5990326001981,1
vsr,115,11.5,10,0,0.9025129796632947,307.13359752860555,0
oprp_ol,109,10.9,4,0,0.9355217731573907,300.18246279428615,1
oprp_cl,109,10.9,4,0,0.9354935447862929,300.5233985710745,1
lqr,112,11.200000000000001,7,0,0.9599534498540371,304.69454918205156,1
vsr,115,11.5,10,0,0.9464261036257745,307.18946172640756,0
oprp_ol,109,10.9,4,0,0.9664891198479397,300.9464751832035,1
oprp_cl,109,10.9,4,0,0.9664706430642679,301.18503710019155,1
lqr,112,11.200000000000001,7,0,0.9792104655107223,304.5407257434186,1
vsr,115,11.5,10,0,0.9447718384357678,307.5060792140267,0
oprp_ol,109,10.9,4,0,0.896901528708048,300.23262489699573,1
oprp_cl,109,10.9,4,0,0.8968883759221429,300.41372544461996,1
lqr,111,11.100000000000001,6,0,0.9275954946599134,304.96583911443423,1
vsr,115,11.5,10,0,0.9238239667632486,306.842208792224,0
oprp_ol,109,10.9,4,0,0.9512322594481833,302.3560853690591,1
oprp_cl,109,10.9,4,0,0.9512172999180276,302.51631822058766,1
lqr,115,11.5,10,0,0.9636992806938872,306.88611913386006,0
vsr,115,11.5,10,0,0.9455199768389021,308.76621407878923,0
oprp_ol,109,10.9,4,0,0.9004544586874036,301.511042776427,1
oprp_cl,109,10.9,4,0,0.9004364159514752,301.73510436911295,1
lqr,113,11.3,8,0,0.9214527177915444,305.93399349585775,1
vsr,115,11.5,10,0,0.9022422859216336,307.3172381373502,0
oprp_ol,109,10.9,4,0,0.938520357162587,299.4599214890992,1
oprp_cl,109,10.9,4,0,0.9385113023412196,299.5834905781966,1
lqr,110,11.0,5,0,0.9358261449855422,304.8295909806852,1
vsr,115,11.5,10,0,0.9245513536255584,307.30033100653367,0
oprp_ol,109,10.9,4,0,0.8990814142057573,301.0182134207938,1
oprp_cl,108,10.8,3,0,0.8850172156331629,302.1953260752918,1
lqr,116,11.600000000000001,11,0,0.9377937796573104,305.70185879437923,1
vsr,115,11.5,10,0,0.9326652735151255,308.2370971134218,0
oprp_ol,109,10.9,4,0,0.9291759167471875,301.1432567899371,1
oprp_cl,108,10.8,3,0,0.9355731581928672,301.66577300929833,1
lqr,115,11.5,10,0,0.9473680693475208,305.13558282461656,1
vsr,115,11.5,10,0,0.9326780860547798,307.2753129113359,0
oprp_ol,109,10.9,4,0,0.977154489412754,299.33141378522697,1
oprp_cl,109,10.9,4,0,0.9771267928266094,299.68592818103815,1
lqr,111,11.100000000000001,6,0,0.9840055871050328,305.75831214289144,1
vsr,115,11.5,10,0,0.9644526466631818,307.36249133055384,0
oprp_ol,109,10.9,4,0,0.9108175392434013,301.39361882108835,1
oprp_cl,109,10.9,4,0,0.9108175528248735,301.3934601590398,1
lqr,113,11.3,8,0,0.9136406159140306,306.9019026909252,0
vsr,115,11.5,10,0,0.9116459585428507,307.83305762315564,0
oprp_ol,109,10.9,4,0,0.9057591887193773,300.37471697702745,1
